Iteration,Score,Trial,Learner,Net
4,-5278.805388219357,4,GREEDY,ds1
5,-5277.282125591695,4,GREEDY,ds1
7,-5275.5159657318145,4,GREEDY,ds1
8,-5274.119702091455,4,GREEDY,ds1
9,-5273.4661116989355,4,GREEDY,ds1
0,-5282.041832650083,4,CASGMM,ds1
1,-5282.002661712708,4,CASGMM,ds1
2,-5280.694410216414,4,CASGMM,ds1
3,-5280.337216472001,4,CASGMM,ds1
6,-5278.3743601728875,4,CASGMM,ds1
8,-5276.297670213226,4,CASGMM,ds1
9,-5275.337430362812,4,CASGMM,ds1
0,-5280.338111566877,4,CASMOD,ds1
1,-5277.617358082873,4,CASMOD,ds1
2,-5275.352556217949,4,CASMOD,ds1
3,-5274.337895920687,4,CASMOD,ds1
4,-5271.863118095096,4,CASMOD,ds1
5,-5269.130248951928,4,CASMOD,ds1
6,-5268.467706672142,4,CASMOD,ds1
7,-5268.109688538432,4,CASMOD,ds1
8,-5266.796935446105,4,CASMOD,ds1
9,-5267.017167000161,4,CASMOD,ds1
0,-5279.785309471462,4,CASJNK,ds1
1,-5277.578157432903,4,CASJNK,ds1
2,-5275.370938118553,4,CASJNK,ds1
3,-5272.650184555063,4,CASJNK,ds1
4,-5270.484907941133,4,CASJNK,ds1
5,-5270.484907941133,4,CASJNK,ds1
6,-5267.623850842591,4,CASJNK,ds1
7,-5265.055257840442,4,CASJNK,ds1
8,-5262.6948964254225,4,CASJNK,ds1
9,-5261.111064050119,4,CASJNK,ds1
0,-5280.869834934081,5,GREEDY,ds1
1,-5280.164173308169,5,GREEDY,ds1
2,-5280.004616751108,5,GREEDY,ds1
3,-5279.877113881486,5,GREEDY,ds1
4,-5278.6488640752505,5,GREEDY,ds1
5,-5277.146003514685,5,GREEDY,ds1
6,-5274.122254933567,5,GREEDY,ds1
7,-5273.931527216348,5,GREEDY,ds1
0,-5282.5494324341635,5,CASGMM,ds1
1,-5282.289426816587,5,CASGMM,ds1
2,-5282.188663427788,5,CASGMM,ds1
3,-5281.245679550062,5,CASGMM,ds1
4,-5281.101733342413,5,CASGMM,ds1
5,-5280.7959694296405,5,CASGMM,ds1
6,-5280.652789922031,5,CASGMM,ds1
8,-5279.905065874117,5,CASGMM,ds1
9,-5279.526755067282,5,CASGMM,ds1
0,-5281.065087524155,5,CASMOD,ds1
1,-5279.48009770615,5,CASMOD,ds1
2,-5277.713937905397,5,CASMOD,ds1
3,-5274.28837014397,5,CASMOD,ds1
4,-5272.444206030648,5,CASMOD,ds1
5,-5269.894887573812,5,CASMOD,ds1
6,-5269.206384882525,5,CASMOD,ds1
7,-5265.921208876697,5,CASMOD,ds1
9,-5262.872975583996,5,CASMOD,ds1
0,-5281.226425202833,5,CASJNK,ds1
1,-5280.80876670326,5,CASJNK,ds1
2,-5277.9078857884815,5,CASJNK,ds1
3,-5276.440468628645,5,CASJNK,ds1
4,-5275.6099710500075,5,CASJNK,ds1
5,-5274.312954773335,5,CASJNK,ds1
6,-5271.539356039602,5,CASJNK,ds1
7,-5270.531357754968,5,CASJNK,ds1
8,-5268.214373187727,5,CASJNK,ds1
0,-6925.126889179828,1,GREEDY,ds2
1,-6418.698602602164,1,GREEDY,ds2
2,-6418.405999461155,1,GREEDY,ds2
3,-6185.890569790938,1,GREEDY,ds2
4,-6184.713189851239,1,GREEDY,ds2
5,-6184.465177920598,1,GREEDY,ds2
6,-5926.800495336609,1,GREEDY,ds2
7,-6159.300258577552,1,GREEDY,ds2
8,-5749.233496914072,1,GREEDY,ds2
9,-5748.434216777547,1,GREEDY,ds2
0,-6454.47969389998,1,CASGMM,ds2
1,-6080.866621449742,1,CASGMM,ds2
